241005001,전민하,01090295492,9910292321456,내과,이마크
241005002,전성하,01031505492,9805172014563,소아과,나재민
241005003,김혜영,01045214632,9810252145632,내과,이해찬
241005004,김수현,01045632145,2010233101452,소아과,김정우
241005005,최기백,01047851236,8711271024563,이비인후과,정재현
241005006,김희애,01023123654,0007084123654,이비인후과,황런쥔
241005007,정서환,01047859654,6702011023654,이비인후과,정재현
241005008,정해인,01089654123,8610231024569,이비인후과,정재현
241005009,김고은,01045786321,6504122012365,내과,이해찬
241005010,김콘칩,01045213652,2005044521456,소아과,나재민
241007001,나재민,01048561236,0004151045632,이비인후과,황런쥔
241007002,정인애,01067595655,7810062256321,소아과,나재민
241007003,이창섭,010445895655,9012141045987,내과,이마크
241007004,김지원,01078544412,1402134012546,소아과,김정우
